Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Asthma,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,COP
2022,PA,Pennsylvania,Allegheny,42003,42003111300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.0,,,9.7,12.4,2658,2313,POINT (-79.9245448 40.4690103),42003111300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.9
2022,PA,Pennsylvania,Allegheny,42003,42003191600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.6,12.2,4141,3365,POINT (-80.0232047 40.4172937),42003191600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.1
2022,PA,Pennsylvania,Allegheny,42003,42003140800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.8,,,7.8,10.0,4658,3688,POINT (-79.9166016 40.4332748),42003140800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.2
2022,PA,Pennsylvania,Allegheny,42003,42003191400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.5,12.0,2725,2480,POINT (-80.0111261 40.4273002),42003191400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.8
2022,PA,Pennsylvania,Allegheny,42003,42003070900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.2,,,8.1,10.3,4987,4638,POINT (-79.9419644 40.4520166),42003070900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.2
2022,PA,Pennsylvania,Adams,42001,42001031402,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.9,,,8.6,11.3,2288,1901,POINT (-77.2450068 39.7788408),42001031402,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.9
2022,PA,Pennsylvania,Allegheny,42003,42003050900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,16.0,,,14.2,17.9,1386,999,POINT (-79.974385 40.4510143),42003050900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,18.0
2022,PA,Pennsylvania,Allegheny,42003,42003160800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.5,,,9.2,11.8,2552,2256,POINT (-79.9711013 40.4209319),42003160800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.2
2022,PA,Pennsylvania,Allegheny,42003,42003050600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.2,,,9.9,12.5,1723,1486,POINT (-79.9600343 40.4535904),42003050600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.4
2022,PA,Pennsylvania,Adams,42001,42001031000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.1,,,8.8,11.5,2310,1711,POINT (-77.013614 39.8156325),42001031000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.4
2022,PA,Pennsylvania,Allegheny,42003,42003101800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.9,,,8.7,11.2,2414,2098,POINT (-79.9369323 40.4841693),42003101800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.4
2022,PA,Pennsylvania,Allegheny,42003,42003050100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.7,,,12.1,15.3,1757,1428,POINT (-79.9728906 40.4477128),42003050100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,12.2
2022,PA,Pennsylvania,Allegheny,42003,42003140400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.3,,,8.2,10.5,2312,1817,POINT (-79.9157386 40.4493376),42003140400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.6
2022,PA,Pennsylvania,Adams,42001,42001031401,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.2,10.7,4745,3899,POINT (-77.2568852 39.8511519),42001031401,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.3
2022,PA,Pennsylvania,Allegheny,42003,42003070300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.2,,,8.1,10.4,2243,2079,POINT (-79.935204 40.4507838),42003070300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.9
2022,PA,Pennsylvania,Allegheny,42003,42003192000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.4,11.9,3455,2891,POINT (-80.0270411 40.4044262),42003192000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.7
2022,PA,Pennsylvania,Allegheny,42003,42003261400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.9,,,11.4,14.5,2241,1735,POINT (-80.0120629 40.4656583),42003261400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,11.7
2022,PA,Pennsylvania,Allegheny,42003,42003120300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.0,,,11.6,14.5,1424,1085,POINT (-79.9029219 40.4693926),42003120300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.3
2022,PA,Pennsylvania,Allegheny,42003,42003290400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.7,12.3,4019,3262,POINT (-79.9824699 40.3876597),42003290400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.6
2022,PA,Pennsylvania,Allegheny,42003,42003180300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.3,,,10.9,13.8,2305,1803,POINT (-79.9937712 40.4229723),42003180300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.9
2022,PA,Pennsylvania,Allegheny,42003,42003270100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.8,,,9.6,12.2,2578,2098,POINT (-80.0429221 40.4826334),42003270100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.8
2022,PA,Pennsylvania,Allegheny,42003,42003141300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.3,,,8.2,10.5,5048,4406,POINT (-79.928225 40.433482),42003141300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.0
2022,PA,Pennsylvania,Allegheny,42003,42003080600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.6,,,8.5,10.9,2008,1827,POINT (-79.9396674 40.4601984),42003080600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.4
2022,PA,Pennsylvania,Adams,42001,42001030802,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.3,12.1,1542,1181,POINT (-76.9794587 39.9368289),42001030802,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.5
2022,PA,Pennsylvania,Adams,42001,42001031201,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.5,,,9.2,11.9,3789,3111,POINT (-77.1799532 39.7670787),42001031201,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.4
2022,PA,Pennsylvania,Allegheny,42003,42003111400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.1,,,10.7,13.5,1211,1057,POINT (-79.9318421 40.4670104),42003111400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.4
2022,PA,Pennsylvania,Allegheny,42003,42003070800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,8.3,,,7.3,9.4,2853,2608,POINT (-79.9197675 40.4564708),42003070800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,2.1
2022,PA,Pennsylvania,Allegheny,42003,42003090300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.4,,,9.1,11.7,1541,1409,POINT (-79.9529437 40.4643488),42003090300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.7
2022,PA,Pennsylvania,Allegheny,42003,42003130800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,14.9,,,13.2,16.6,2260,1652,POINT (-79.8927341 40.4533023),42003130800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,14.2
2022,PA,Pennsylvania,Allegheny,42003,42003241300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.4,12.0,3395,2930,POINT (-79.9840959 40.4651965),42003241300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.0
2022,PA,Pennsylvania,Allegheny,42003,42003040400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.2,,,8.1,10.3,2220,2175,POINT (-79.949426 40.4473617),42003040400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.7
2022,PA,Pennsylvania,Allegheny,42003,42003080200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.1,11.6,1618,1494,POINT (-79.9513352 40.4599658),42003080200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.2
2022,PA,Pennsylvania,Adams,42001,42001030700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.6,12.5,6424,5064,POINT (-77.1081367 39.8251335),42001030700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.5
2022,PA,Pennsylvania,Allegheny,42003,42003160900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.8,,,8.6,11.0,3483,3333,POINT (-79.9650335 40.4254639),42003160900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.8
2022,PA,Pennsylvania,Allegheny,42003,42003110600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.5,,,8.3,10.7,2440,1965,POINT (-79.9155986 40.4726916),42003110600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.3
2022,PA,Pennsylvania,Allegheny,42003,42003070600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.3,10.7,2194,2043,POINT (-79.9254776 40.4532703),42003070600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.1
2022,PA,Pennsylvania,Allegheny,42003,42003070500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.1,,,8.0,10.3,3040,2917,POINT (-79.9289619 40.4560165),42003070500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,2.3
2022,PA,Pennsylvania,Allegheny,42003,42003101900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.4,,,11.0,14.0,2432,1839,POINT (-79.9401262 40.4687735),42003101900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.3
2022,PA,Pennsylvania,Adams,42001,42001030803,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.0,11.8,2714,2114,POINT (-77.0232261 39.8980258),42001030803,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.2
2022,PA,Pennsylvania,Allegheny,42003,42003080700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.3,10.6,1963,1793,POINT (-79.9343798 40.4609734),42003080700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,2.8
2022,PA,Pennsylvania,Allegheny,42003,42003191800,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.5,,,9.3,11.8,5252,4349,POINT (-80.0163062 40.3889159),42003191800,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.2
2022,PA,Pennsylvania,Adams,42001,42001030300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.0,11.8,4437,3354,POINT (-77.3032111 39.97956),42001030300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.0
2022,PA,Pennsylvania,Allegheny,42003,42003180700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.0,,,9.7,12.3,2050,1776,POINT (-80.0012996 40.4246544),42003180700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.0
2022,PA,Pennsylvania,Allegheny,42003,42003120900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.8,,,11.3,14.4,1545,1248,POINT (-79.9121163 40.4622571),42003120900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,13.5
2022,PA,Pennsylvania,Allegheny,42003,42003010301,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.0,11.6,1807,1800,POINT (-79.9864299 40.4340503),42003010301,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.5
2022,PA,Pennsylvania,Allegheny,42003,42003141400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.3,10.5,5593,4706,POINT (-79.9200175 40.4222026),42003141400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.8
2022,PA,Pennsylvania,Allegheny,42003,42003271600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.4,,,11.0,13.9,4046,3162,POINT (-80.0282841 40.4713418),42003271600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.0
2022,PA,Pennsylvania,Allegheny,42003,42003320600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.1,11.6,2243,1873,POINT (-80.0050642 40.3946674),42003320600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.1
2022,PA,Pennsylvania,Allegheny,42003,42003250900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.8,,,11.3,14.3,1140,907,POINT (-80.0042758 40.462813),42003250900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.5
2022,PA,Pennsylvania,Adams,42001,42001031700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.3,12.1,2826,2320,POINT (-77.4070658 39.7962181),42001031700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.9
2022,PA,Pennsylvania,Allegheny,42003,42003281400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.5,,,11.1,14.1,2552,1747,POINT (-80.051958 40.447136),42003281400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,10.1
2022,PA,Pennsylvania,Allegheny,42003,42003060300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.5,,,8.4,10.7,2641,2409,POINT (-79.9653118 40.4649167),42003060300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.6
2022,PA,Pennsylvania,Adams,42001,42001031600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.0,11.7,7138,5772,POINT (-77.3439936 39.7686313),42001031600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.5
2022,PA,Pennsylvania,Allegheny,42003,42003051100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,16.1,,,14.4,18.1,617,338,POINT (-79.9764371 40.4415541),42003051100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,11.8
2022,PA,Pennsylvania,Allegheny,42003,42003290200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.2,,,9.9,12.7,4141,3240,POINT (-79.9838292 40.3993665),42003290200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.8
2022,PA,Pennsylvania,Adams,42001,42001030104,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.5,12.4,3424,2615,POINT (-77.0386023 39.9383558),42001030104,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.4
2022,PA,Pennsylvania,Allegheny,42003,42003320400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.7,12.3,1870,1562,POINT (-79.9920433 40.3847131),42003320400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.4
2022,PA,Pennsylvania,Adams,42001,42001031102,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.2,,,8.9,11.7,3465,2776,POINT (-77.0271584 39.7856329),42001031102,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.9
2022,PA,Pennsylvania,Adams,42001,42001030801,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.5,12.4,3425,2715,POINT (-77.0038785 39.8572799),42001030801,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.5
2022,PA,Pennsylvania,Allegheny,42003,42003040200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.8,,,12.1,15.5,2534,2387,POINT (-79.9662466 40.44011),42003040200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.9
2022,PA,Pennsylvania,Allegheny,42003,42003260700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.7,12.2,1653,1256,POINT (-80.0116946 40.4817789),42003260700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.5
2022,PA,Pennsylvania,Allegheny,42003,42003202300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.7,,,8.6,10.9,4127,3631,POINT (-80.039297 40.4103004),42003202300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.8
2022,PA,Pennsylvania,Allegheny,42003,42003262000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.1,,,10.7,13.5,2400,1917,POINT (-79.9952133 40.4671705),42003262000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,10.1
2022,PA,Pennsylvania,Allegheny,42003,42003130700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.9,,,12.3,15.6,2231,1626,POINT (-79.885651 40.457326),42003130700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,11.9
2022,PA,Pennsylvania,Allegheny,42003,42003110200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.7,,,8.6,11.0,3787,3217,POINT (-79.9231377 40.4755201),42003110200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.9
2022,PA,Pennsylvania,Allegheny,42003,42003090200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.1,,,8.9,11.4,2678,2482,POINT (-79.9571463 40.468893),42003090200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.1
2022,PA,Pennsylvania,Allegheny,42003,42003202200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.1,,,9.8,12.5,2550,2012,POINT (-80.0636016 40.4541161),42003202200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.5
2022,PA,Pennsylvania,Adams,42001,42001030901,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.9,,,9.6,12.5,3567,2677,POINT (-77.0540297 39.8719928),42001030901,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.6
2022,PA,Pennsylvania,Allegheny,42003,42003130200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.6,,,12.1,15.2,1028,756,POINT (-79.8934943 40.4586937),42003130200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,11.8
2022,PA,Pennsylvania,Allegheny,42003,42003190300,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.1,,,8.8,11.4,1930,1787,POINT (-80.0148434 40.4327228),42003190300,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.5
2022,PA,Pennsylvania,Allegheny,42003,42003191700,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.1,11.6,3391,2798,POINT (-80.0124374 40.4038098),42003191700,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.3
2022,PA,Pennsylvania,Allegheny,42003,42003080900,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.7,,,8.6,11.0,1824,1686,POINT (-79.9442502 40.4629898),42003080900,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.5
2022,PA,Pennsylvania,Adams,42001,42001031203,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.7,,,9.4,12.2,3055,2482,POINT (-77.0498477 39.7558798),42001031203,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.7
2022,PA,Pennsylvania,Allegheny,42003,42003151600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.3,,,9.1,11.6,2305,1954,POINT (-79.9444005 40.4250024),42003151600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.1
2022,PA,Pennsylvania,Allegheny,42003,42003261500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,12.4,,,11.0,13.9,1524,1206,POINT (-80.0163501 40.4709542),42003261500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,10.0
2022,PA,Pennsylvania,Allegheny,42003,42003260200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.7,,,10.3,13.2,2092,1684,POINT (-80.0176758 40.4922785),42003260200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.8
2022,PA,Pennsylvania,Adams,42001,42001030600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.8,,,8.5,11.2,4851,4007,POINT (-77.169848 39.8809983),42001030600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,8.0
2022,PA,Pennsylvania,Adams,42001,42001031202,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.9,,,8.7,11.3,2844,2290,POINT (-77.107671 39.7342719),42001031202,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.8
2022,PA,Pennsylvania,Adams,42001,42001030400,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.0,,,9.6,12.5,5543,4461,POINT (-77.3934887 39.9042488),42001030400,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,10.5
2022,PA,Pennsylvania,Allegheny,42003,42003010302,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.6,,,12.0,15.3,4075,3960,POINT (-79.9852405 40.4369729),42003010302,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.3
2022,PA,Pennsylvania,Allegheny,42003,42003101100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.4,,,9.2,11.7,2394,2197,POINT (-79.9493327 40.4842661),42003101100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.6
2022,PA,Pennsylvania,Allegheny,42003,42003040500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,14.2,,,12.4,16.3,3781,3655,POINT (-79.9559434 40.4396187),42003040500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,6.1
2022,PA,Pennsylvania,Allegheny,42003,42003040600,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,13.5,,,11.9,15.4,2054,1961,POINT (-79.9522906 40.4367398),42003040600,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.9
2022,PA,Pennsylvania,Allegheny,42003,42003140200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.5,,,8.4,10.7,2771,2480,POINT (-79.9263113 40.4478011),42003140200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,3.7
2022,PA,Pennsylvania,Adams,42001,42001031101,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.0,,,9.7,12.5,5177,4060,POINT (-77.0116149 39.8037622),42001031101,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.6
2022,PA,Pennsylvania,Allegheny,42003,42003170200,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.2,,,9.0,11.5,3984,3795,POINT (-79.9847536 40.4297776),42003170200,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,4.3
2022,PA,Pennsylvania,Allegheny,42003,42003141100,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,9.4,,,8.3,10.6,1339,1107,POINT (-79.9075532 40.4196414),42003141100,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.6
2022,PA,Pennsylvania,Allegheny,42003,42003051000,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,14.1,,,12.6,15.9,1703,1422,POINT (-79.9675197 40.4443817),42003051000,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,9.8
2022,PA,Pennsylvania,Allegheny,42003,42003191500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,10.6,,,9.3,11.9,2005,1803,POINT (-80.0108171 40.4205204),42003191500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,5.5
2022,PA,Pennsylvania,Allegheny,42003,42003030500,BRFSS,Health Outcomes,Current asthma among adults,%,Crude prevalence,11.7,,,10.3,13.1,3041,2591,POINT (-79.985307 40.4421127),42003030500,HLTHOUT,CASTHMA,CrdPrv,Current Asthma,7.1
