Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Smoking,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text,Drinking,Physical_Activity,Short_Sleep
2022,PA,Pennsylvania,Allegheny,42003,42003180300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.7,,,17.5,21.9,2305,1803,POINT (-79.9937712 40.4229723),42003180300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.4,26.6,40.8
2022,PA,Pennsylvania,Allegheny,42003,42003281400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,21.2,,,18.9,23.6,2552,1747,POINT (-80.051958 40.447136),42003281400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.9,29.2,41.6
2022,PA,Pennsylvania,Allegheny,42003,42003290400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.6,,,14.6,18.6,4019,3262,POINT (-79.9824699 40.3876597),42003290400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.1,23.0,36.7
2022,PA,Pennsylvania,Allegheny,42003,42003111300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.2,,,11.6,14.8,2658,2313,POINT (-79.9245448 40.4690103),42003111300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.8,19.9,38.1
2022,PA,Pennsylvania,Allegheny,42003,42003191600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.5,,,14.5,18.5,4141,3365,POINT (-80.0232047 40.4172937),42003191600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.2,23.3,37.0
2022,PA,Pennsylvania,Allegheny,42003,42003070900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.3,,,9.0,11.6,4987,4638,POINT (-79.9419644 40.4520166),42003070900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.8,19.7,34.6
2022,PA,Pennsylvania,Allegheny,42003,42003310200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.4,,,16.3,20.7,3155,2617,POINT (-79.9141095 40.3713991),42003310200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.6,25.2,36.4
2022,PA,Pennsylvania,Adams,42001,42001030101,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.7,,,13.7,17.9,2646,2069,POINT (-77.0916161 40.0146129),42001030101,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.9,22.4,36.9
2022,PA,Pennsylvania,Allegheny,42003,42003141200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.3,,,9.1,11.7,4007,3242,POINT (-79.8969935 40.4452265),42003141200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.3,15.6,32.1
2022,PA,Pennsylvania,Adams,42001,42001030104,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.4,,,16.1,21.1,3424,2615,POINT (-77.0386023 39.9383558),42001030104,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.0,25.2,39.6
2022,PA,Pennsylvania,Allegheny,42003,42003261300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,24.8,,,22.2,27.4,2767,1781,POINT (-80.0059004 40.486005),42003261300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,14.3,35.7,45.9
2022,PA,Pennsylvania,Allegheny,42003,42003241300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.2,,,15.2,19.3,3395,2930,POINT (-79.9840959 40.4651965),42003241300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.5,22.2,37.3
2022,PA,Pennsylvania,Allegheny,42003,42003191900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.6,,,12.9,16.4,2177,1786,POINT (-80.0221667 40.3962085),42003191900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.1,19.2,35.0
2022,PA,Pennsylvania,Allegheny,42003,42003140300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,6.8,,,5.9,7.7,3529,2890,POINT (-79.9195738 40.4414481),42003140300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.4,13.4,29.3
2022,PA,Pennsylvania,Adams,42001,42001030801,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.0,,,16.6,21.6,3425,2715,POINT (-77.0038785 39.8572799),42001030801,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.4,27.0,39.4
2022,PA,Pennsylvania,Allegheny,42003,42003050600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.2,,,12.6,15.9,1723,1486,POINT (-79.9600343 40.4535904),42003050600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.1,24.8,41.2
2022,PA,Pennsylvania,Allegheny,42003,42003010301,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,27.7,,,24.7,30.8,1807,1800,POINT (-79.9864299 40.4340503),42003010301,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.6,28.8,49.5
2022,PA,Pennsylvania,Adams,42001,42001031600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.1,,,12.2,16.2,7138,5772,POINT (-77.3439936 39.7686313),42001031600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.9,21.0,36.6
2022,PA,Pennsylvania,Adams,42001,42001030803,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.9,,,13.8,18.2,2714,2114,POINT (-77.0232261 39.8980258),42001030803,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.5,23.3,37.9
2022,PA,Pennsylvania,Allegheny,42003,42003180700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.1,,,16.1,20.3,2050,1776,POINT (-80.0012996 40.4246544),42003180700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.7,24.3,37.7
2022,PA,Pennsylvania,Allegheny,42003,42003090100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.1,,,9.7,12.5,2038,1904,POINT (-79.9616816 40.4752866),42003090100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,25.1,15.4,32.7
2022,PA,Pennsylvania,Allegheny,42003,42003050100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,23.9,,,21.3,26.5,1757,1428,POINT (-79.9728906 40.4477128),42003050100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,11.8,38.2,49.4
2022,PA,Pennsylvania,Allegheny,42003,42003101800,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.5,,,10.1,13.1,2414,2098,POINT (-79.9369323 40.4841693),42003101800,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.2,17.8,33.7
2022,PA,Pennsylvania,Allegheny,42003,42003170600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.1,,,13.3,17.0,1775,1646,POINT (-79.9847631 40.4226533),42003170600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,23.6,20.8,36.1
2022,PA,Pennsylvania,Allegheny,42003,42003140100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.7,,,9.4,12.2,5579,5066,POINT (-79.9373596 40.4427482),42003140100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,23.9,19.8,34.5
2022,PA,Pennsylvania,Allegheny,42003,42003070300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.6,,,7.5,9.8,2243,2079,POINT (-79.935204 40.4507838),42003070300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.2,16.0,32.1
2022,PA,Pennsylvania,Allegheny,42003,42003130200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,25.3,,,22.7,28.0,1028,756,POINT (-79.8934943 40.4586937),42003130200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,11.6,39.0,49.7
2022,PA,Pennsylvania,Adams,42001,42001030600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.4,,,11.6,15.5,4851,4007,POINT (-77.169848 39.8809983),42001030600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.0,23.9,36.4
2022,PA,Pennsylvania,Adams,42001,42001031501,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.2,,,9.6,12.9,3157,2979,POINT (-77.2357145 39.8350913),42001031501,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.0,20.8,39.1
2022,PA,Pennsylvania,Allegheny,42003,42003040500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.9,,,15.6,20.4,3781,3655,POINT (-79.9559434 40.4396187),42003040500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.2,32.5,40.9
2022,PA,Pennsylvania,Adams,42001,42001031202,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.4,,,11.6,15.4,2844,2290,POINT (-77.107671 39.7342719),42001031202,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.7,20.2,36.5
2022,PA,Pennsylvania,Allegheny,42003,42003141400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.9,,,7.8,10.2,5593,4706,POINT (-79.9200175 40.4222026),42003141400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.7,16.4,31.8
2022,PA,Pennsylvania,Allegheny,42003,42003080900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.9,,,7.8,10.1,1824,1686,POINT (-79.9442502 40.4629898),42003080900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.5,14.1,32.4
2022,PA,Pennsylvania,Allegheny,42003,42003250900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,21.7,,,19.3,24.2,1140,907,POINT (-80.0042758 40.462813),42003250900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.8,30.9,44.0
2022,PA,Pennsylvania,Allegheny,42003,42003261400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,22.6,,,20.2,25.1,2241,1735,POINT (-80.0120629 40.4656583),42003261400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,13.0,35.2,44.6
2022,PA,Pennsylvania,Allegheny,42003,42003090300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.3,,,13.5,17.1,1541,1409,POINT (-79.9529437 40.4643488),42003090300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.0,19.9,34.2
2022,PA,Pennsylvania,Allegheny,42003,42003192000,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,16.3,,,14.4,18.3,3455,2891,POINT (-80.0270411 40.4044262),42003192000,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.2,23.2,36.3
2022,PA,Pennsylvania,Allegheny,42003,42003051000,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,23.2,,,20.5,25.8,1703,1422,POINT (-79.9675197 40.4443817),42003051000,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.0,37.2,46.7
2022,PA,Pennsylvania,Allegheny,42003,42003270300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,21.4,,,19.0,23.9,1906,1525,POINT (-80.0367571 40.4778507),42003270300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,16.3,30.1,41.5
2022,PA,Pennsylvania,Allegheny,42003,42003130700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,25.0,,,22.4,27.8,2231,1626,POINT (-79.885651 40.457326),42003130700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,11.8,40.4,49.7
2022,PA,Pennsylvania,Allegheny,42003,42003161000,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,20.1,,,17.8,22.5,2666,2104,POINT (-79.9694546 40.412603),42003161000,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.4,27.5,40.6
2022,PA,Pennsylvania,Adams,42001,42001031203,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.4,,,15.1,19.8,3055,2482,POINT (-77.0498477 39.7558798),42001031203,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.1,25.2,37.9
2022,PA,Pennsylvania,Allegheny,42003,42003281500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.9,,,14.1,17.8,1447,1164,POINT (-80.0539288 40.4404623),42003281500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.1,22.2,36.6
2022,PA,Pennsylvania,Allegheny,42003,42003320400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.1,,,16.1,20.4,1870,1562,POINT (-79.9920433 40.3847131),42003320400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.2,24.2,36.4
2022,PA,Pennsylvania,Adams,42001,42001030200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.9,,,16.5,21.6,5346,4133,POINT (-77.1408392 39.9719049),42001030200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.8,27.1,39.9
2022,PA,Pennsylvania,Allegheny,42003,42003140800,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.1,,,7.1,9.3,4658,3688,POINT (-79.9166016 40.4332748),42003140800,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.3,14.7,31.1
2022,PA,Pennsylvania,Allegheny,42003,42003020300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,9.6,,,8.4,11.0,1845,1764,POINT (-79.9812762 40.4544996),42003020300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,27.1,13.1,32.6
2022,PA,Pennsylvania,Allegheny,42003,42003191400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.8,,,12.1,15.6,2725,2480,POINT (-80.0111261 40.4273002),42003191400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.8,18.9,35.1
2022,PA,Pennsylvania,Adams,42001,42001031000,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,15.3,,,13.2,17.5,2310,1711,POINT (-77.013614 39.8156325),42001031000,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.1,21.0,38.1
2022,PA,Pennsylvania,Allegheny,42003,42003110600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.2,,,8.9,11.5,2440,1965,POINT (-79.9155986 40.4726916),42003110600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,20.5,16.1,32.7
2022,PA,Pennsylvania,Adams,42001,42001030500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.9,,,17.4,22.5,3775,3010,POINT (-77.2299913 39.9280184),42001030500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.8,29.6,39.5
2022,PA,Pennsylvania,Allegheny,42003,42003070800,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,6.4,,,5.5,7.4,2853,2608,POINT (-79.9197675 40.4564708),42003070800,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,23.6,12.8,31.9
2022,PA,Pennsylvania,Allegheny,42003,42003040900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.2,,,15.1,19.4,3326,3134,POINT (-79.9578957 40.4332756),42003040900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,19.4,29.3,41.7
2022,PA,Pennsylvania,Allegheny,42003,42003120900,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,23.1,,,20.6,25.6,1545,1248,POINT (-79.9121163 40.4622571),42003120900,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,10.9,40.1,46.5
2022,PA,Pennsylvania,Allegheny,42003,42003080700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,8.9,,,7.8,10.2,1963,1793,POINT (-79.9343798 40.4609734),42003080700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.5,14.6,34.2
2022,PA,Pennsylvania,Allegheny,42003,42003120300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,18.1,,,16.0,20.1,1424,1085,POINT (-79.9029219 40.4693926),42003120300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,12.3,32.5,47.1
2022,PA,Pennsylvania,Allegheny,42003,42003060300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,9.1,,,7.9,10.4,2641,2409,POINT (-79.9653118 40.4649167),42003060300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,25.4,14.1,32.0
2022,PA,Pennsylvania,Adams,42001,42001030902,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.8,,,12.0,15.8,4237,3508,POINT (-77.0395388 39.8427623),42001030902,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,14.7,27.7,35.6
2022,PA,Pennsylvania,Allegheny,42003,42003101100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.9,,,13.1,16.8,2394,2197,POINT (-79.9493327 40.4842661),42003101100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,24.6,19.2,36.1
2022,PA,Pennsylvania,Allegheny,42003,42003020100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.8,,,10.3,13.4,4729,4586,POINT (-80.001277 40.4406616),42003020100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,23.4,17.5,35.3
2022,PA,Pennsylvania,Allegheny,42003,42003141300,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.1,,,9.8,12.6,5048,4406,POINT (-79.928225 40.433482),42003141300,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,17.9,21.1,34.4
2022,PA,Pennsylvania,Allegheny,42003,42003270100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.6,,,12.9,16.5,2578,2098,POINT (-80.0429221 40.4826334),42003270100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.0,19.6,37.0
2022,PA,Pennsylvania,Allegheny,42003,42003101400,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,12.3,,,10.8,13.9,3252,2712,POINT (-79.9270065 40.4852452),42003101400,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.3,16.9,34.0
2022,PA,Pennsylvania,Allegheny,42003,42003191100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,11.8,,,10.4,13.3,2397,2188,POINT (-80.0248251 40.4354428),42003191100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.0,17.1,32.1
2022,PA,Pennsylvania,Allegheny,42003,42003260200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,19.3,,,17.2,21.7,2092,1684,POINT (-80.0176758 40.4922785),42003260200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.7,25.2,40.5
2022,PA,Pennsylvania,Allegheny,42003,42003140500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,7.7,,,6.7,8.7,1988,1752,POINT (-79.9021356 40.4517483),42003140500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.0,14.4,33.6
2022,PA,Pennsylvania,Allegheny,42003,42003270800,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.9,,,12.2,15.6,2621,2199,POINT (-80.0319964 40.4856961),42003270800,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.8,21.3,35.3
2022,PA,Pennsylvania,Allegheny,42003,42003060500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,10.6,,,9.2,12.1,1201,1078,POINT (-79.9662328 40.4576386),42003060500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,22.8,16.0,33.3
2022,PA,Pennsylvania,Allegheny,42003,42003290100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,22.4,,,19.9,25.0,2130,1672,POINT (-79.9931773 40.3990789),42003290100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.8,29.1,39.4
2022,PA,Pennsylvania,Allegheny,42003,42003320600,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,14.2,,,12.5,16.0,2243,1873,POINT (-80.0050642 40.3946674),42003320600,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.5,19.1,34.4
2022,PA,Pennsylvania,Allegheny,42003,42003202200,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,17.4,,,15.4,19.5,2550,2012,POINT (-80.0636016 40.4541161),42003202200,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,18.1,25.3,40.2
2022,PA,Pennsylvania,Allegheny,42003,42003191700,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,13.9,,,12.2,15.7,3391,2798,POINT (-80.0124374 40.4038098),42003191700,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,21.3,20.1,34.7
2022,PA,Pennsylvania,Allegheny,42003,42003261500,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,22.5,,,20.0,25.0,1524,1206,POINT (-80.0163501 40.4709542),42003261500,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,15.3,32.3,45.3
2022,PA,Pennsylvania,Allegheny,42003,42003051100,BRFSS,Health Risk Behaviors,Current cigarette smoking among adults,%,Crude prevalence,29.4,,,26.5,32.6,617,338,POINT (-79.9764371 40.4415541),42003051100,RISKBEH,CSMOKING,CrdPrv,Current Cigarette Smoking,12.2,42.8,53.1
