county,license_type,lat,lon,geometry,cluster
SUSQUEHANNA,Cigarette/OTP Retail,41.971432,-75.743288,POINT (-75.743288 41.971432),14
ALLEGHENY,Retail,40.445086,-79.948749,POINT (-79.948749 40.445086),15
BUCKS,Retail,40.09705,-74.945786,POINT (-74.945786 40.09705),16
CHESTER,Cigarette/OTP Retail,39.823372,-75.884613,POINT (-75.884613 39.823372),-1
CHESTER,Retail,39.966339,-75.521096,POINT (-75.521096 39.966339),-1
DAUPHIN,Cigarette/OTP Retail,40.535604,-76.960938,POINT (-76.960938 40.535604),17
DELAWARE,Retail,39.933451,-75.287682,POINT (-75.287682 39.933451),18
DELAWARE,Retail,39.882266,-75.306502,POINT (-75.306502 39.882266),19
FRANKLIN,Cig/OTP Retail,39.750582,-77.726502,POINT (-77.726502 39.750582),20
LACKAWANNA,OTP Retail,41.486841,-75.5876621,POINT (-75.5876621 41.486841),-1
MONTGOMERY,Cigarette/OTP Retail,40.005493,-75.260975,POINT (-75.260975 40.005493),-1
NORTHAMPTON,OTP Retail,40.69112,-75.21137,POINT (-75.21137 40.69112),21
PHILADELPHIA,Cig/OTP Retail,39.956884,-75.224962,POINT (-75.224962 39.956884),1
PHILADELPHIA,Retail,40.009296,-75.151651,POINT (-75.151651 40.009296),1
YORK,OTP Retail,39.759414,-76.591041,POINT (-76.591041 39.759414),22
PHILADELPHIA,Cigarette/OTP Retail,39.998904006,-75.1338880019999,POINT (-75.1338880019999 39.998904006),1
PHILADELPHIA,Cig/OTP Retail,40.018045,-75.082462,POINT (-75.082462 40.018045),1
MONTGOMERY,Cigarette/OTP Retail,40.130593,-75.127641,POINT (-75.127641 40.130593),23
LUZERNE,Cigarette/OTP Retail,41.275435,-75.85062,POINT (-75.85062 41.275435),24
DELAWARE,Retail,39.83435,-75.400319,POINT (-75.400319 39.83435),25
DELAWARE,OTP Retail,39.83435,-75.400319,POINT (-75.400319 39.83435),25
BUCKS,Retail,40.327765,-75.128746,POINT (-75.128746 40.327765),26
BUCKS,Retail,40.327765,-75.128746,POINT (-75.128746 40.327765),26
BUCKS,OTP Retail,40.327765,-75.128746,POINT (-75.128746 40.327765),26
PHILADELPHIA,OTP Retail,40.009359,-75.150846,POINT (-75.150846 40.009359),1
MONTGOMERY,Cig/OTP Retail,40.245252,-75.647007,POINT (-75.647007 40.245252),27
DELAWARE,Cigarette/OTP Retail,39.915179019,-75.310447009,POINT (-75.310447009 39.915179019),28
PHILADELPHIA,Cigarette Retail,40.009359,-75.150846,POINT (-75.150846 40.009359),1
MONTGOMERY,Cigarette Retail,40.146017,-75.322071,POINT (-75.322071 40.146017),29
CHESTER,Cig/OTP Retail,40.181663,-75.547873,POINT (-75.547873 40.181663),30
SCHUYLKILL,Cigarette/OTP Retail,40.697474992,-76.172218973,POINT (-76.172218973 40.697474992),31
MONTGOMERY,Cigarette/OTP Retail,40.245241,-75.64693,POINT (-75.64693 40.245241),27
YORK,OTP Retail,39.960421,-76.73441,POINT (-76.73441 39.960421),32
YORK,Retail,39.960421,-76.73441,POINT (-76.73441 39.960421),32
NORTHAMPTON,Cigarette/OTP Retail,40.64409,-75.33237,POINT (-75.33237 40.64409),-1
PHILADELPHIA,Cigarette/OTP Retail,40.106512,-75.030061,POINT (-75.030061 40.106512),33
ALLEGHENY,Cigarette/OTP Retail,40.4381130080001,-80.056117978,POINT (-80.056117978 40.4381130080001),34
CUMBERLAND,Cigarette/OTP Retail,40.219475,-76.986746,POINT (-76.986746 40.219475),35
CUMBERLAND,Retail - Itinerant,40.219475,-76.986746,POINT (-76.986746 40.219475),35
CUMBERLAND,OTP Retail Itinerant,40.219475,-76.986746,POINT (-76.986746 40.219475),35
CUMBERLAND,OTP Retail,40.246426,-77.022222,POINT (-77.022222 40.246426),36
LEHIGH,Retail,40.584396,-75.476124,POINT (-75.476124 40.584396),37
LEHIGH,OTP Retail,40.584396,-75.476124,POINT (-75.476124 40.584396),37
PHILADELPHIA,Cigarette Retail,40.008488,-75.158061,POINT (-75.158061 40.008488),1
PHILADELPHIA,OTP Retail,40.008488,-75.158061,POINT (-75.158061 40.008488),1
LACKAWANNA,Cigarette/OTP Retail,41.48107,-75.5691,POINT (-75.5691 41.48107),476
LACKAWANNA,Cig/OTP Retail,41.481063,-75.569078,POINT (-75.569078 41.481063),476
PIKE,Cigarette/OTP Retail,41.3609050170001,-74.709577958,POINT (-74.709577958 41.3609050170001),38
ALLEGHENY,Cigarette/OTP Retail,40.3922,-79.88524,POINT (-79.88524 40.3922),39
DAUPHIN,OTP Wholesaler,40.19385,-76.72945,POINT (-76.72945 40.19385),40
YORK,Cigarette/OTP Retail,39.960362,-76.724058,POINT (-76.724058 39.960362),32
SCHUYLKILL,Cigarette/OTP Retail,40.821533,-76.201501,POINT (-76.201501 40.821533),41
LACKAWANNA,Cigarette/OTP Retail,41.4955169990001,-75.708031019,POINT (-75.708031019 41.4955169990001),42
MONTGOMERY,Cigarette/OTP Retail,40.092485985,-75.13924496,POINT (-75.13924496 40.092485985),-1
ADAMS,Cig/OTP Retail,39.786192,-77.370619,POINT (-77.370619 39.786192),43
ADAMS,OTP Retail,39.786192,-77.370619,POINT (-77.370619 39.786192),43
PHILADELPHIA,Cig/OTP Retail,39.923517,-75.162987,POINT (-75.162987 39.923517),1
LEHIGH,Cigarette/OTP Retail,40.603146018,-75.391732024,POINT (-75.391732024 40.603146018),44
CUMBERLAND,Cig/OTP Retail,40.224757,-76.861438,POINT (-76.861438 40.224757),11
LYCOMING,Cig/OTP Retail,41.202024,-77.274571,POINT (-77.274571 41.202024),-1
DAUPHIN,OTP Wholesaler,40.25575,-76.84235,POINT (-76.84235 40.25575),1314
CHESTER,Retail,39.983977,-75.824635,POINT (-75.824635 39.983977),2
CRAWFORD,Cigarette/OTP Retail,41.51992,-80.048224,POINT (-80.048224 41.51992),45
DELAWARE,Cigarette/OTP Retail,39.8923742,-75.3266416,POINT (-75.3266416 39.8923742),46
MONTGOMERY,OTP Retail,40.029454,-75.333151,POINT (-75.333151 40.029454),-1
PHILADELPHIA,Cigarette/OTP Retail,39.937338,-75.158217,POINT (-75.158217 39.937338),1
CHESTER,Cigarette/OTP Retail,39.935872,-75.588939,POINT (-75.588939 39.935872),-1
ERIE,Cigarette Retail,42.12502,-80.08231,POINT (-80.08231 42.12502),47
PHILADELPHIA,OTP Retail,39.955178006,-75.15667496,POINT (-75.15667496 39.955178006),1
NORTHAMPTON,OTP Retail,40.56759,-75.33981,POINT (-75.33981 40.56759),48
NORTHAMPTON,OTP Retail,40.567644,-75.339872,POINT (-75.339872 40.567644),48
BUCKS,Cigarette/OTP Retail,40.10942,-74.856086,POINT (-74.856086 40.10942),49
PHILADELPHIA,Cigarette/OTP Retail,39.95367,-75.15725,POINT (-75.15725 39.95367),1
PHILADELPHIA,Cig/OTP Retail,39.970065,-75.147399,POINT (-75.147399 39.970065),1
PHILADELPHIA,Cigarette/OTP Retail,39.952098997,-75.157933,POINT (-75.157933 39.952098997),1
DAUPHIN,Retail,40.336709,-76.791329,POINT (-76.791329 40.336709),50
DAUPHIN,OTP Retail,40.336709,-76.791329,POINT (-76.791329 40.336709),50
ERIE,Cigarette/OTP Retail,42.127838,-80.073428,POINT (-80.073428 42.127838),47
FRANKLIN,Cigarette/OTP Retail,39.935731,-77.661686,POINT (-77.661686 39.935731),51
MERCER,Cigarette Retail,41.421715012,-80.366462972,POINT (-80.366462972 41.421715012),-1
CLARION,Cigarette/OTP Retail,41.10199201,-79.681797018,POINT (-79.681797018 41.10199201),-1
LUZERNE,Cigarette Retail,41.229428999,-75.913614964,POINT (-75.913614964 41.229428999),52
BERKS,Cigarette/OTP Retail,40.341391,-75.916147,POINT (-75.916147 40.341391),0
LACKAWANNA,Cigarette Retail,41.5984451,-75.7179237,POINT (-75.7179237 41.5984451),-1
BUTLER,Cig/OTP Retail,40.861334,-79.904376,POINT (-79.904376 40.861334),53
PHILADELPHIA,Cig/OTP Retail,40.109653,-75.025377,POINT (-75.025377 40.109653),-1
PHILADELPHIA,Retail,39.923517,-75.162987,POINT (-75.162987 39.923517),1
PHILADELPHIA,Retail,39.923517,-75.162987,POINT (-75.162987 39.923517),1
PHILADELPHIA,Retail,39.924614,-75.162645,POINT (-75.162645 39.924614),1
DELAWARE,Cigarette/OTP Retail,39.855114,-75.3579,POINT (-75.3579 39.855114),54
PHILADELPHIA,Cig/OTP Retail,39.96147,-75.240859,POINT (-75.240859 39.96147),1
BLAIR,Cig/OTP Retail,40.311823,-78.3248,POINT (-78.3248 40.311823),-1
CRAWFORD,Cigarette/OTP Retail,41.804146008,-80.058284029,POINT (-80.058284029 41.804146008),-1
PHILADELPHIA,Cigarette Retail,39.945531,-75.213457,POINT (-75.213457 39.945531),1
WAYNE,Cig/OTP Retail,41.551085,-75.2187,POINT (-75.2187 41.551085),55
BUCKS,Cigarette/OTP Retail,40.217932,-74.78041,POINT (-74.78041 40.217932),56
BUCKS,OTP Wholesaler,40.217932,-74.78041,POINT (-74.78041 40.217932),56
BUTLER,Cigarette/OTP Retail,40.909412,-80.034124,POINT (-80.034124 40.909412),-1
PHILADELPHIA,Cigarette/OTP Retail,39.970324985,-75.210038012,POINT (-75.210038012 39.970324985),1
BERKS,Cigarette Retail,40.339778,-75.915154,POINT (-75.915154 40.339778),0
BERKS,Cig/OTP Retail,40.345804,-75.915009,POINT (-75.915009 40.345804),0
PHILADELPHIA,Cigarette Retail,40.0081,-75.10575,POINT (-75.10575 40.0081),1
YORK,Cig/OTP Retail,39.95498,-76.75202,POINT (-76.75202 39.95498),32
PHILADELPHIA,Cigarette/OTP Retail,39.95778,-75.157785982,POINT (-75.157785982 39.95778),1
PHILADELPHIA,Cigarette Retail,39.95778,-75.157785982,POINT (-75.157785982 39.95778),1
PHILADELPHIA,Cig/OTP Retail,39.957544,-75.158177,POINT (-75.158177 39.957544),1
PIKE,Cigarette/OTP Retail,41.323002,-74.804768,POINT (-74.804768 41.323002),57
LEHIGH,Cigarette/OTP Retail,40.528076017,-75.507178994,POINT (-75.507178994 40.528076017),58
LYCOMING,Cigarette/OTP Retail,41.20322,-77.25513,POINT (-77.25513 41.20322),59
BLAIR,Cig/OTP Retail,40.427471,-78.395778,POINT (-78.395778 40.427471),60
MONTGOMERY,OTP Retail,40.09508,-75.41409,POINT (-75.41409 40.09508),61
ALLEGHENY,Cigarette/OTP Retail,40.38144,-79.81155,POINT (-79.81155 40.38144),62
WESTMORELAND,Retail,40.105126,-79.595563,POINT (-79.595563 40.105126),-1
LUZERNE,Cigarette/OTP Retail,41.24058,-75.86164,POINT (-75.86164 41.24058),63
INDIANA,Cigarette/OTP Retail,40.61663,-79.16329,POINT (-79.16329 40.61663),64
INDIANA,Cig/OTP Retail,40.618022,-79.161558,POINT (-79.161558 40.618022),64
CUMBERLAND,Cigarette/OTP Retail,40.215017004,-77.187438019,POINT (-77.187438019 40.215017004),-1
PHILADELPHIA,Wholesale,39.9987,-75.128453,POINT (-75.128453 39.9987),1
PHILADELPHIA,Cigarette Retail,39.998473,-75.128713,POINT (-75.128713 39.998473),1
CHESTER,Cig/OTP Retail,39.9832959,-75.8670572,POINT (-75.8670572 39.9832959),-1
PHILADELPHIA,Retail,40.005459,-75.146435,POINT (-75.146435 40.005459),1
PHILADELPHIA,Cigarette Retail,39.922121,-75.164808,POINT (-75.164808 39.922121),1
BERKS,Cigarette Retail,40.353232,-75.915536,POINT (-75.915536 40.353232),0
PHILADELPHIA,Retail,39.981774,-75.134064,POINT (-75.134064 39.981774),1
LYCOMING,Cigarette Retail,41.244648,-77.051508,POINT (-77.051508 41.244648),65
BERKS,Cig/OTP Retail,40.353352,-75.917636,POINT (-75.917636 40.353352),0
DELAWARE,Cigarette Retail,39.86897,-75.336736,POINT (-75.336736 39.86897),66
DELAWARE,Cigarette/OTP Retail,39.972797,-75.317566,POINT (-75.317566 39.972797),67
PHILADELPHIA,Retail,39.971652,-75.225886,POINT (-75.225886 39.971652),1
BEAVER,Retail,40.736523,-80.306915,POINT (-80.306915 40.736523),1039
PHILADELPHIA,Cigarette/OTP Retail,39.937108005,-75.177272984,POINT (-75.177272984 39.937108005),1
CENTRE,OTP Retail,40.801818,-77.880782,POINT (-77.880782 40.801818),824
CUMBERLAND,Retail,40.202773,-77.185742,POINT (-77.185742 40.202773),68
LACKAWANNA,Retail,41.4350712,-75.6196722,POINT (-75.6196722 41.4350712),69
LACKAWANNA,OTP Retail,41.4350712,-75.6196722,POINT (-75.6196722 41.4350712),69
CHESTER,Cigarette/OTP Retail,39.91915,-75.57631,POINT (-75.57631 39.91915),70
BERKS,Cigarette/OTP Retail,40.337597979,-75.918390973,POINT (-75.918390973 40.337597979),0
CRAWFORD,Cigarette/OTP Retail,41.615000987,-80.288401973,POINT (-80.288401973 41.615000987),-1
PHILADELPHIA,Cigarette Retail,39.938163,-75.188608,POINT (-75.188608 39.938163),1
LEHIGH,OTP Retail,40.60599,-75.45818,POINT (-75.45818 40.60599),71
LEHIGH,OTP Retail,40.605995,-75.45817,POINT (-75.45817 40.605995),71
MONTGOMERY,Cigarette/OTP Retail,40.12588,-75.13224,POINT (-75.13224 40.12588),23
BERKS,Retail,40.321982,-75.92892,POINT (-75.92892 40.321982),72
CUMBERLAND,Cig/OTP Retail,40.234749,-77.13208,POINT (-77.13208 40.234749),73
BUCKS,OTP Retail,40.16568,-74.874183,POINT (-74.874183 40.16568),74
BUCKS,Cig/OTP Retail,40.16568,-74.874183,POINT (-74.874183 40.16568),74
CHESTER,Cig/OTP Retail,39.960708,-75.602277,POINT (-75.602277 39.960708),75
LACKAWANNA,Cigarette/OTP Retail,41.64144,-75.58729,POINT (-75.58729 41.64144),-1
YORK,Cigarette/OTP Retail,39.973745011,-76.703760967,POINT (-76.703760967 39.973745011),32
LUZERNE,OTP Retail,40.957182,-75.972411,POINT (-75.972411 40.957182),76
BERKS,Cigarette/OTP Retail,40.344683,-75.93648,POINT (-75.93648 40.344683),0
PHILADELPHIA,Cigarette/OTP Retail,39.924597009,-75.165650973,POINT (-75.165650973 39.924597009),1
LEHIGH,Cigarette Retail,40.603582,-75.483689,POINT (-75.483689 40.603582),71
LEHIGH,OTP Retail,40.603582,-75.483689,POINT (-75.483689 40.603582),71
ERIE,Cigarette/OTP Retail,42.100715,-80.14308,POINT (-80.14308 42.100715),77
PHILADELPHIA,Cigarette Retail,39.96042,-75.13966,POINT (-75.13966 39.96042),1
PHILADELPHIA,Retail,39.960398,-75.139732,POINT (-75.139732 39.960398),1
BERKS,Cigarette/OTP Retail,40.354840979,-75.917855034,POINT (-75.917855034 40.354840979),0
BEAVER,Cigarette/OTP Retail,40.653425996,-80.38823002,POINT (-80.38823002 40.653425996),78
ELK,Cigarette/OTP Retail,41.42437,-78.73102,POINT (-78.73102 41.42437),4
ALLEGHENY,OTP Retail,40.428788,-79.984861,POINT (-79.984861 40.428788),79
ALLEGHENY,Retail,40.428788,-79.984861,POINT (-79.984861 40.428788),79
SUSQUEHANNA,Cigarette Retail,41.946189009,-75.603014992,POINT (-75.603014992 41.946189009),80
LEHIGH,OTP Retail,40.615456,-75.505937,POINT (-75.505937 40.615456),81
LEHIGH,Retail,40.615456,-75.505937,POINT (-75.505937 40.615456),81
BUTLER,Cigarette/OTP Retail,40.698976847,-79.72247929,POINT (-79.72247929 40.698976847),82
PHILADELPHIA,OTP Retail,39.971342,-75.158287,POINT (-75.158287 39.971342),1
PHILADELPHIA,Retail,39.971342,-75.158287,POINT (-75.158287 39.971342),1
PHILADELPHIA,Cigarette/OTP Retail,39.996935,-75.15307,POINT (-75.15307 39.996935),1
PHILADELPHIA,Retail,39.932404,-75.160909,POINT (-75.160909 39.932404),1
LACKAWANNA,Cig/OTP Retail,41.43133,-75.664175,POINT (-75.664175 41.43133),83
PHILADELPHIA,Retail,40.03106,-75.146123,POINT (-75.146123 40.03106),1
CENTRE,Cigarette/OTP Retail,40.7948,-77.861247,POINT (-77.861247 40.7948),84
ELK,Cigarette/OTP Retail,41.43182,-78.5599,POINT (-78.5599 41.43182),85
CENTRE,Cig/OTP Retail,40.810088,-77.831846,POINT (-77.831846 40.810088),86
CENTRE,Cigarette Retail,40.81017,-77.8317,POINT (-77.8317 40.81017),86
LEHIGH,Cigarette Retail,40.603149,-75.485701,POINT (-75.485701 40.603149),71
LEHIGH,OTP Retail,40.603149,-75.485701,POINT (-75.485701 40.603149),71
BERKS,Retail,40.328577,-75.911395,POINT (-75.911395 40.328577),0
BERKS,OTP Retail,40.328577,-75.911395,POINT (-75.911395 40.328577),0
DAUPHIN,Cig/OTP Retail,40.193552,-76.731659,POINT (-76.731659 40.193552),40
DAUPHIN,Retail,40.27074,-76.889731,POINT (-76.889731 40.27074),87
BERKS,Cigarette/OTP Retail,40.356321,-75.917557,POINT (-75.917557 40.356321),0
BERKS,Cigarette/OTP Retail,40.330092,-75.909887,POINT (-75.909887 40.330092),0
BERKS,OTP Retail,40.330092,-75.909887,POINT (-75.909887 40.330092),0
PHILADELPHIA,Cigarette Retail,39.940411,-75.218759,POINT (-75.218759 39.940411),1
ALLEGHENY,Cigarette Retail,40.46262,-79.89756,POINT (-79.89756 40.46262),363
MONTGOMERY,Cigarette/OTP Retail,40.25403,-75.30469,POINT (-75.30469 40.25403),-1
MONROE,Cigarette/OTP Retail,40.91682,-75.42164,POINT (-75.42164 40.91682),88
MONROE,Cig/OTP Retail,40.924537,-75.3937949,POINT (-75.3937949 40.924537),89
MONTGOMERY,Cigarette Retail,40.243453,-75.617823,POINT (-75.617823 40.243453),90
LEHIGH,Cigarette Retail,40.60227,-75.488794,POINT (-75.488794 40.60227),71
PHILADELPHIA,OTP Retail,39.943784,-75.166639,POINT (-75.166639 39.943784),1
BERKS,Cigarette/OTP Retail,40.338159,-75.921937,POINT (-75.921937 40.338159),0
CHESTER,Cigarette Retail,40.206825,-75.660359,POINT (-75.660359 40.206825),91
CHESTER,OTP Retail,40.206825,-75.660359,POINT (-75.660359 40.206825),91
CHESTER,Cig/OTP Retail,40.009916,-75.615791,POINT (-75.615791 40.009916),-1
CHESTER,Cigarette/OTP Retail,40.01001271,-75.615460526,POINT (-75.615460526 40.01001271),-1
NORTHAMPTON,Cigarette/OTP Retail,40.689965017,-75.231756026,POINT (-75.231756026 40.689965017),21
MONTGOMERY,Cigarette/OTP Retail,40.12435,-75.11776,POINT (-75.11776 40.12435),92
MONTGOMERY,Cig/OTP Retail,40.124307,-75.117375,POINT (-75.117375 40.124307),92
LANCASTER,Cigarette/OTP Retail,40.033553,-76.504454,POINT (-76.504454 40.033553),93
BRADFORD,Cigarette/OTP Retail,41.771242027,-76.44396741,POINT (-76.44396741 41.771242027),929
DAUPHIN,Cigarette/OTP Retail,40.262230002,-76.873740012,POINT (-76.873740012 40.262230002),87
PHILADELPHIA,Retail,39.971165,-75.156961,POINT (-75.156961 39.971165),1
CAMBRIA,Cigarette Retail,40.557872,-78.772411,POINT (-78.772411 40.557872),-1
WASHINGTON,OTP Retail,40.163303,-80.275944,POINT (-80.275944 40.163303),94
PHILADELPHIA,Cigarette/OTP Retail,39.994174,-75.156351,POINT (-75.156351 39.994174),1
DELAWARE,Cigarette/OTP Retail,39.90473,-75.28017,POINT (-75.28017 39.90473),1
DELAWARE,Cig/OTP Retail,39.90473,-75.28017,POINT (-75.28017 39.90473),1
FRANKLIN,Cigarette/OTP Retail,39.728913,-77.472862,POINT (-77.472862 39.728913),95
LUZERNE,Cigarette/OTP Retail,41.3411,-75.97745,POINT (-75.97745 41.3411),96
ERIE,Cigarette/OTP Retail,42.09059,-80.097976,POINT (-80.097976 42.09059),97
BERKS,Cigarette/OTP Retail,40.328422,-75.907982,POINT (-75.907982 40.328422),0
BUCKS,OTP Retail,40.135665,-74.832241,POINT (-74.832241 40.135665),98
MONROE,OTP Manufacturer,40.9177933,-75.4123771,POINT (-75.4123771 40.9177933),88
MONROE,OTP Retail,40.9177933,-75.4123771,POINT (-75.4123771 40.9177933),88
MONROE,Cigarette/OTP Retail,40.994111,-75.248323,POINT (-75.248323 40.994111),-1
CHESTER,Cigarette/OTP Retail,39.745884,-75.809538,POINT (-75.809538 39.745884),-1
PHILADELPHIA,Cig/OTP Retail,39.959049,-75.241366,POINT (-75.241366 39.959049),1
LANCASTER,OTP Retail,40.035365,-76.305229,POINT (-76.305229 40.035365),5
BERKS,Cigarette/OTP Retail,40.353272013,-76.1375400219999,POINT (-76.1375400219999 40.353272013),-1
LACKAWANNA,OTP Retail,41.578241,-75.590971,POINT (-75.590971 41.578241),-1
BERKS,Cigarette/OTP Retail,40.32933,-75.90533,POINT (-75.90533 40.32933),0
LEHIGH,Cigarette/OTP Retail,40.617334,-75.497899,POINT (-75.497899 40.617334),-1
LUZERNE,Cig/OTP Retail,40.966469,-75.986894,POINT (-75.986894 40.966469),-1
PHILADELPHIA,Retail,40.043335,-75.147242,POINT (-75.147242 40.043335),1
PHILADELPHIA,OTP Retail,40.043335,-75.147242,POINT (-75.147242 40.043335),1
PHILADELPHIA,Cigarette/OTP Retail,40.043577999,-75.147189999,POINT (-75.147189999 40.043577999),1
PHILADELPHIA,Retail,40.050756,-75.066512,POINT (-75.066512 40.050756),1
PHILADELPHIA,Cigarette Retail,40.04333,-75.14723,POINT (-75.14723 40.04333),1
PHILADELPHIA,Cigarette/OTP Retail,39.930795,-75.17164,POINT (-75.17164 39.930795),1
PHILADELPHIA,Cigarette/OTP Retail,40.000443,-75.156586,POINT (-75.156586 40.000443),1
PHILADELPHIA,Cig/OTP Retail,39.9539,-75.144858,POINT (-75.144858 39.9539),1
PHILADELPHIA,Cigarette Retail,39.9539,-75.144858,POINT (-75.144858 39.9539),1
PHILADELPHIA,Cig/OTP Retail,39.931191,-75.178014,POINT (-75.178014 39.931191),1
ALLEGHENY,Cigarette/OTP Retail,40.400963994,-79.905685028,POINT (-79.905685028 40.400963994),99
MONROE,Cigarette Retail,40.8274677,-76.8375221,POINT (-76.8375221 40.8274677),100
PHILADELPHIA,Cigarette Retail,39.99452,-75.15907,POINT (-75.15907 39.99452),1
PHILADELPHIA,Retail,39.994521,-75.159051,POINT (-75.159051 39.994521),1
LYCOMING,Cigarette Retail,41.224149,-76.741212,POINT (-76.741212 41.224149),101
BEAVER,Cigarette Retail,40.71339,-80.33612,POINT (-80.33612 40.71339),-1
BEAVER,OTP Retail,40.71339,-80.33612,POINT (-80.33612 40.71339),-1
INDIANA,Cigarette/OTP Retail,40.430917054,-79.26158491,POINT (-79.26158491 40.430917054),102
PHILADELPHIA,Cigarette/OTP Retail,40.022363,-75.075893,POINT (-75.075893 40.022363),1
BERKS,Cigarette/OTP Retail,40.537989,-75.976398,POINT (-75.976398 40.537989),103
MONTGOMERY,OTP Retail,40.151537,-75.305556,POINT (-75.305556 40.151537),104
PHILADELPHIA,Cig/OTP Retail,39.988223,-75.159145,POINT (-75.159145 39.988223),1
PHILADELPHIA,Cigarette Retail,39.989878,-75.158768,POINT (-75.158768 39.989878),1
PHILADELPHIA,OTP Retail,39.989878,-75.158768,POINT (-75.158768 39.989878),1
LEHIGH,Retail,40.605292,-75.494447,POINT (-75.494447 40.605292),71
LEHIGH,OTP Retail,40.605292,-75.494447,POINT (-75.494447 40.605292),71
MERCER,Cig/OTP Retail,41.260363,-80.483828,POINT (-80.483828 41.260363),-1
MERCER,Cig/OTP Retail,41.234376,-80.511654,POINT (-80.511654 41.234376),105
NORTHAMPTON,Cig/OTP Retail,40.716401,-75.220801,POINT (-75.220801 40.716401),106
PHILADELPHIA,Cigarette/OTP Retail,39.976975019,-75.232707036,POINT (-75.232707036 39.976975019),1
PHILADELPHIA,Cigarette/OTP Retail,39.976759,-75.232663,POINT (-75.232663 39.976759),1
CAMBRIA,OTP Retail,40.669081002,-78.785974997,POINT (-78.785974997 40.669081002),-1
LANCASTER,Cigarette/OTP Retail,40.037499988,-76.350701962,POINT (-76.350701962 40.037499988),107
MONTGOMERY,Cig/OTP Retail,40.151632,-75.306318,POINT (-75.306318 40.151632),104
MONTGOMERY,Cigarette/OTP Retail,40.15142,-75.30639,POINT (-75.30639 40.15142),104
ERIE,Cigarette/OTP Retail,42.116031,-80.029305,POINT (-80.029305 42.116031),-1
DELAWARE,Cigarette Wholesaler,39.96023,-75.28289,POINT (-75.28289 39.96023),1
LANCASTER,Cigarette/OTP Retail,40.037690005,-76.351273021,POINT (-76.351273021 40.037690005),107
PHILADELPHIA,Retail,39.929615,-75.178367,POINT (-75.178367 39.929615),1
LANCASTER,Cigarette/OTP Retail,40.037983,-76.351387,POINT (-76.351387 40.037983),107
BERKS,Cigarette/OTP Retail,40.328127,-75.903409,POINT (-75.903409 40.328127),0
LANCASTER,Cig/OTP Retail,40.049747,-76.25328,POINT (-76.25328 40.049747),-1
PHILADELPHIA,Cigarette Retail,39.991319,-75.134115,POINT (-75.134115 39.991319),1
PHILADELPHIA,Cigarette Retail,39.995813,-75.168978,POINT (-75.168978 39.995813),1
WASHINGTON,OTP Retail,40.27603399,-80.047468022,POINT (-80.047468022 40.27603399),-1
YORK,Cig/OTP Retail,39.973924,-76.768745,POINT (-76.768745 39.973924),108
